Sample Number,Sample ID ,Date/time,Filtered Volume (mL),Filter Weight (g),Comment,Depth
0,GW1,6/28/2023 0:00,49,0.2359,,0.1
0,GW2,6/28/2023 0:00,55,0.2333,"Start of Summer '22. A lot of unknown dates. This Section includes spring '22, spring '23 and some summer '23",0.1
0,GW3,6/28/2023 0:00,48,0.2381,,0.1
0,GW5,6/28/2023 0:00,70,0.2382,,0.1
0,GW6,6/28/2023 0:00,53,0.2356,,0.1
0,GW7,6/28/2023 0:00,75,0.2344,,0.1
0,GW8,6/28/2023 0:00,60,0.2336,,0.1
0,GW9,6/28/2023 0:00,55,0.2382,,0.1
0,GS Down,6/23/2023 0:00,200,0.2336,,0.1
0,GS UP,6/23/2023 0:00,205,0.2346,,0.1
340,UP# 12,5/5/2023 0:00,140,0.2358,,0.1
341,UP# 14,5/5/2023 0:00,150,0.2329,,0.1
342,UP# 16,5/5/2023 0:00,,0.2318,,0.1
356,D# 10,5/4/2023 23:00,140,0.2364,,0.1
355,D# 9,5/4/2023 20:00,150,0.2316,,0.1
354,D# 8,5/4/2023 17:00,160,0.2357,,0.1
353,D# 7 ,5/4/2023 14:00,150,0.2377,,0.1
352,D# 5,5/4/2023 8:00,140,0.2324,,0.1
351,D# 3,5/4/2023 2:00,160,0.2319,,0.1
336,UP# 4,5/4/2023 0:00,160,0.2341,,0.1
337,UP# 7,5/4/2023 0:00,155,0.222,,0.1
338,UP# 9,5/4/2023 0:00,140,0.2309,,0.1
339,UP# 10,5/4/2023 0:00,140,0.2355,This Section Mostly Includes Spring '23 Samples,0.1
350,D# 1,5/3/2023 20:00,150,0.2358,,0.1
249,D# 22,5/3/2023 14:00,140,0.2289,,0.1
334,UP# 22,5/3/2023 14:00,150,0.2315,,0.1
333,UP# 21,5/3/2023 7:00,140,0.2274,,0.1
348,D# 21,5/3/2023 7:00,140,0.2346,,0.1
332,UP# 20,5/3/2023 0:00,150,0.2302,,0.1
335,UP# 1,5/3/2023 0:00,160,0.2328,,0.1
347,D# 20,5/3/2023 0:00,150,0.2294,,0.1
331,UP# 19,5/2/2023 17:00,160,0.2344,,0.1
346,D# 19,5/2/2023 17:00,150,0.2332,,0.1
330,UP# 18,5/2/2023 10:00,160,0.2366,,0.1
345,D# 18,5/2/2023 10:00,140,0.2308,,0.1
329,UP# 17,5/2/2023 3:00,160,0.2401,,0.1
344,D# 17,5/2/2023 3:00,150,0.2365,,0.1
343,D# 16,5/1/2023 20:00,140,0.234,,0.1
327,Down# 15,5/1/2023 14:00,150,0.2332,,0.1
313,UP# 14,5/1/2023 9:00,160,0.2334,,0.1
326,Down# 14,5/1/2023 9:00,160,0.2316,,0.1
328,UP# 16,5/1/2023 8:00,150,0.2385,,0.1
312,UP# 13,5/1/2023 4:00,150,0.235,,0.1
325,Down# 13,5/1/2023 4:00,150,0.2205,,0.1
314,UP# 15,5/1/2023 2:00,170,0.2359,,0.1
311,UP# 12,4/30/2023 23:00,150,0.2346,,0.1
324,Down# 12,4/30/2023 23:00,155,0.2301,,0.1
310,UP# 11,4/30/2023 18:00,140,0.2351,,0.1
323,Down# 11,4/30/2023 18:00,150,0.2293,,0.1
309,UP# 10,4/30/2023 13:00,150,0.2354,,0.1
322,Down# 10,4/30/2023 13:00,160,0.2311,,0.1
308,UP# 9,4/30/2023 8:00,160,0.2309,,0.1
321,Down# 9,4/30/2023 8:00,150,0.2351,,0.1
307,UP# 8,4/30/2023 3:00,160,0.2372,,0.1
320,Down# 8,4/30/2023 3:00,140,0.231,,0.1
306,UP# 7,4/29/2023 22:00,140,0.2331,,0.1
319,Down# 7,4/29/2023 22:00,150,0.2367,,0.1
305,UP# 6,4/29/2023 17:00,165,0.2321,,0.1
318,Down# 6,4/29/2023 17:00,150,0.2323,,0.1
304,UP# 5,4/29/2023 12:00,150,0.2363,,0.1
316,D# 4,4/29/2023 7:00,150,0.2378,,0.1
317,D# 5,4/29/2023 5:00,150,0.2339,,0.1
303,UP# 3,4/29/2023 2:00,160,0.233,,0.1
315,D# 3,4/29/2023 2:00,160,0.2375,,0.1
301,D# 2,4/28/2023 21:00,155,0.2349,,0.1
302,UP# 2,4/28/2023 21:00,160,0.2354,,0.1
291,UP# 1,4/28/2023 16:00,150,0.2321,,0.1
300,D# 1,4/28/2023 16:00,170,0.2335,,0.1
290,UP# 24,4/28/2023 11:00,160,0.2314,,0.1
299,D# 24,4/28/2023 11:00,150,0.2333,,0.1
289,UP# 23,4/28/2023 6:00,155,0.2331,,0.1
298,D# 23,4/28/2023 6:00,170,0.2339,,0.1
288,UP# 22,4/28/2023 1:00,160,0.2321,,0.1
297,D# 22,4/28/2023 1:00,145,0.2323,,0.1
296,D# 21,4/27/2023 20:00,160,0.2319,,0.1
286,UP# 20,4/27/2023 15:00,160,0.2339,,0.1
295,D# 20,4/27/2023 15:00,160,0.2355,,0.1
294,D# 19,4/27/2023 10:00,170,0.2336,,0.1
284,UP# 18,4/27/2023 5:00,170,0.2349,,0.1
293,D# 18,4/27/2023 5:00,170,0.2317,,0.1
283,UP# 17,4/27/2023 0:00,150,0.2394,,0.1
287,UP# 21,4/27/2023 0:00,155,0.2308,Possible name typo,0.1
292,D# 17,4/27/2023 0:00,150,0.2295,,0.1
268,D# 16,4/26/2023 19:00,140,0.2361,,0.1
274,UP# 16,4/26/2023 19:00,150,0.2356,,0.1
267,D# 15,4/26/2023 13:30,159,0.2347,,0.1
266,D# 13,4/26/2023 4:00,150,0.2308,,0.1
273,UP# 15,4/26/2023 0:00,145,0.2328,,0.1
265,D# 12,4/25/2023 23:00,140,0.2357,,0.1
264,D# 11,4/25/2023 18:00,140,0.2323,Possible typo/duplicate,0.1
264,D# 11,4/25/2023 18:00,150,0.2306,Possible typo/duplicate,0.1
263,D# 10,4/25/2023 13:00,,0.2331,,0.1
271,UP# 10,4/25/2023 13:00,140,0.2359,,0.1
262,D# 9,4/25/2023 8:00,110,0.2345,,0.1
261,D# 8,4/25/2023 3:00,115,0.2298,,0.1
270,UP# 8,4/25/2023 3:00,170,0.2327,,0.1
275,GW1,4/25/2023 0:00,190,0.237,,0.1
276,GW2,4/25/2023 0:00,100,0.2318,,0.1
277,GW3,4/25/2023 0:00,140,0.2311,,0.1
278,GW5,4/25/2023 0:00,165,0.2372,,0.1
279,GW6,4/25/2023 0:00,90,0.2327,,0.1
280,GW7,4/25/2023 0:00,90,0.2356,,0.1
281,GW8,4/25/2023 0:00,100,0.2219,,0.1
282,GW9,4/25/2023 0:00,100,0.2354,,0.1
260,D# 7 ,4/24/2023 22:00,95,0.2322,,0.1
269,UP# 7,4/24/2023 22:00,140,0.2309,,0.1
253,UP# 6,4/24/2023 17:00,160,0.2311,,0.1
259,D# 6,4/24/2023 17:00,95,0.2382,,0.1
252,UP# 5,4/24/2023 12:00,150,0.2332,,0.1
258,Down# 5,4/24/2023 12:00,155,0.2253,,0.1
251,UP# 4 ,4/24/2023 7:00,140,0.2288,,0.1
257,Down# 4,4/24/2023 7:00,140,0.2348,,0.1
250,UP# 3,4/24/2023 2:00,150,0.2352,,0.1
256,Down# 3,4/24/2023 2:00,140,0.2321,,0.1
249,UP# 2,4/23/2023 21:00,155,0.2325,,0.1
255,Down# 2,4/23/2023 21:00,150,0.2271,,0.1
248,UP# 1,4/23/2023 16:00,160,0.228,,0.1
254,Down# 1,4/23/2023 16:00,145,0.2306,,0.1
0,UP# 24,4/23/2023 11:30,150,0.2421,might be #23,0.1
246,UP# 22,4/23/2023 1:30,150,0.2382,,0.1
245,UP# 21,4/23/2023 0:00,150,0.2332,could be 28/4/23,0.1
244,UP# 20,4/22/2023 15:30,150,0.238,,0.1
243,UP# 19,4/22/2023 10:30,145,0.2368,,0.1
242,UP# 18,4/22/2023 5:30,150,0.2347,,0.1
241,UP# 17,4/22/2023 0:30,150,0.2336,,0.1
240,UP# 16,4/21/2023 19:30,140,0.234,,0.1
235,Down# 14,4/21/2023 14:30,,0.2365,,0.1
239,UP# 15,4/21/2023 14:30,150,0.2372,,0.1
234,Down# 13,4/21/2023 9:30,,0.2378,,0.1
238,UP# 14,4/21/2023 9:30,150,0.2353,,0.1
237,UP# 12,4/20/2023 23:30,150,0.2328,,0.1
231,Down# 10,4/20/2023 18:30,150,0.2373,,0.1
236,UP# 11,4/20/2023 18:30,160,0.2355,,0.1
230,Down# 9,4/20/2023 16:00,160,0.235,,0.1
232,Down# 11,4/20/2023 13:30,160,0.236,,0.1
233,Down# 12,4/20/2023 4:30,150,0.2349,,0.1
220,UP# 8,4/20/2023 3:30,90,0.2346,,0.1
221,UP# 9,4/20/2023 0:00,90,0.2363,,0.1
219,UP# 7,4/19/2023 22:30,100,0.2353,,0.1
218,UP# 6,4/19/2023 17:30,100,0.2348,,0.1
217,UP B# 5,4/19/2023 12:30,200,0.233,,0.1
229,Down B# 5,4/19/2023 12:30,200,0.2354,,0.1
216,UP B# 4,4/19/2023 7:30,200,0.2339,,0.1
228,Down B# 4,4/19/2023 7:30,220,0.2347,,0.1
215,UP B# 3,4/19/2023 2:30,200,0.2285,,0.1
227,Down B# 3,4/19/2023 2:30,200,0.2285,,0.1
214,UP B# 2,4/18/2023 21:30,190,0.2281,,0.1
226,Down B# 2,4/18/2023 21:30,200,0.229,,0.1
213,UP B# 1,4/18/2023 16:30,200,0.231,,0.1
212,UP B# 19,4/18/2023 12:30,220,0.2331,Possible typo/duplicate,0.1
212,UP B# 19,4/18/2023 12:30,225,0.2272,Possible typo/duplicate,0.1
224,Down B# 19,4/18/2023 12:30,210,0.2307,,0.1
223,Down B# 18,4/18/2023 8:30,200,0.2311,,0.1
193,UP# 17,4/18/2023 4:30,,0.2375,,0.1
207,DB# 17,4/18/2023 4:30,200,0.2341,,0.1
211,UP B# 18,4/18/2023 0:30,190,0.2304,,0.1
222,DB# 16,4/18/2023 0:30,190,0.236,,0.1
191,UP# 15,4/17/2023 20:30,,0.2376,,0.1
206,DB# 15,4/17/2023 20:30,200,0.2352,,0.1
190,UP# B# 14,4/17/2023 16:30,,0.2385,,0.1
205,DB# 14,4/17/2023 16:30,190,0.2378,,0.1
189,UP B# 13,4/17/2023 12:30,190,0.2325,,0.1
204,Down B# 13,4/17/2023 12:30,200,0.2355,,0.1
188,UP B# 12,4/17/2023 8:30,200,0.2371,,0.1
203,Down B# 12,4/17/2023 8:30,200,0.2363,,0.1
202,Down B# 11,4/17/2023 4:30,150,0.2333,,0.1
186,UP B# 10,4/17/2023 0:30,270,0.234,,0.1
201,Down B# 10,4/17/2023 0:30,145,0.2371,,0.1
192,UP# 16,4/17/2023 0:30,,0.2365,,0.1
187,UP B# 11,4/17/2023 0:00,200,0.232,,0.1
208,OV. Flow Left,4/17/2023 0:00,220,0.2352,,0.1
209,OV. Flow Right,4/17/2023 0:00,225,0.2366,,0.1
0,Down B# 9,4/16/2023 20:30,150,0.2355,missing in other doc,0.1
184,UP B# 8,4/16/2023 16:30,270,0.235,,0.1
200,Down B# 8,4/16/2023 16:30,150,0.2346,,0.1
183,UP B# 7,4/16/2023 12:30,240,0.235,,0.1
199,Down B# 7,4/16/2023 12:30,210,0.2347,,0.1
182,UP B# 4,4/16/2023 0:30,190,0.235,,0.1
198,Down B# 4,4/16/2023 0:30,200,0.2352,,0.1
185,UP B# 9,4/16/2023 0:00,230,0.234,,0.1
181,UP B# 3,4/15/2023 20:30,220,0.232,,0.1
197,Down B# 3,4/15/2023 20:30,200,0.2345,,0.1
180,UP B# 2,4/15/2023 16:30,200,0.229,,0.1
196,Down B# 2,4/15/2023 16:30,190,0.2354,,0.1
195,Down B# 1,4/15/2023 12:30,210,0.2378,,0.1
179,UP B# 1,4/15/2023 0:00,200,0.234,,0.1
163,GSLB,4/13/2023 18:40,150,0.234,,0.1
164,GSLT,4/13/2023 18:40,150,0.239,,0.1
165,GSUB,4/13/2023 18:40,150,0.235,,0.1
166,GSUT,4/13/2023 18:40,145,0.225,,0.1
175,GS - Down Bottom,3/22/2023 0:00,200,0.222,,0.1
176,GS - Down Top,3/22/2023 0:00,190,0.237,,0.1
177,GS - UP Bottom,3/22/2023 0:00,200,0.235,,0.1
178,GS - UP Top,3/22/2023 0:00,200,0.236,,0.1
171,GS - Down Bottom,3/19/2023 0:00,200,0.235,,0.1
172,GS - Down Top,3/19/2023 0:00,190,0.23,,0.1
173,GS - UP Bottom,3/19/2023 0:00,210,0.235,,0.1
174,GS - UP Top,3/19/2023 0:00,200,0.233,,0.1
167,GS - Down Bottom,3/18/2023 0:00,200,0.235,,0.1
168,GS - Down Top,3/18/2023 0:00,190,0.233,,0.1
169,GS - UP Bottom,3/18/2023 0:00,200,0.233,,0.1
170,GS - UP Top,3/18/2023 0:00,200,0.253,,0.1
125,GSLB DOC,8/24/2022 0:00,104.74,0.2334,,0.1
128,GSUB,8/24/2022 0:00,107.41,0.2375,,0.1
131,GW1,8/23/2022 0:00,23.36,0.2379,,0.1
133,GW2,8/23/2022 0:00,22.1,0.2385,,0.1
134,GW3,8/23/2022 0:00,38.14,0.2452,,0.1
138,GW4,8/23/2022 0:00,101.48,0.2396,,0.1
141,GW6,8/23/2022 0:00,84.58,0.2405,,0.1
144,GW7,8/23/2022 0:00,59.21,0.2429,,0.1
147,GW8,8/23/2022 0:00,87.68,0.2411,,0.1
160,PS - A,8/23/2022 0:00,28.49,0.2394,,0.1
160,PZ - A,8/23/2022 0:00,27.74,0.2356,,0.1
122,Grab SL,8/11/2022 0:00,121.37,0.2329,,0.1
127,GSU,8/11/2022 0:00,120.11,0.2368,,0.1
137,GW4,8/11/2022 0:00,,0.238,,0.1
143,GW7,8/11/2022 0:00,122.13,0.2376,,0.1
146,GW8,8/11/2022 0:00,122.22,0.2367,,0.1
149,GW9,8/11/2022 0:00,14.81,0.2374,,0.1
150,GWW1,8/11/2022 0:00,60.34,0.234,,0.1
151,GWW2,8/11/2022 0:00,39.32,0.2398,,0.1
152,GWW3,8/11/2022 0:00,61.56,0.2443,,0.1
153,GWW5,8/11/2022 0:00,30.01,0.2348,,0.1
154,GWW6,8/11/2022 0:00,59.71,0.2392,,0.1
158,Piez L,8/11/2022 0:00,33.85,0.2373,,0.1
159,Piez U,8/11/2022 0:00,80.41,0.2384,,0.1
130,GW1,7/19/2022 0:00,14.61,0.2368,,0.1
132,GW2,7/19/2022 0:00,24.09,0.2374,,0.1
135,GW3,7/19/2022 0:00,31.35,0.2377,,0.1
136,GW4,7/19/2022 0:00,30.83,0.2399,,0.1
139,GW5 ,7/19/2022 0:00,16.63,0.2364,,0.1
140,GW6,7/19/2022 0:00,48.33,0.244,,0.1
142,GW7,7/19/2022 0:00,43.58,0.2393,,0.1
145,GW8,7/19/2022 0:00,51.02,0.2381,,0.1
148,GW9,7/19/2022 0:00,15.21,0.2404,,0.1
123,GSL Carbon,7/12/2022 0:00,121.07,0.241,,0.1
126,GSU,7/12/2022 0:00,119.31,0.2397,,0.1
156,I1 - 19 C,3/28/2022 0:00,119.17,0.2374,,0.1
155,I1-13 C,3/27/2022 0:00,121.14,0.2419,,0.1
124,GSLB Carbon,3/18/2022 0:00,120.77,0.2383,,0.1
129,GSUB Carbon,3/18/2022 0:00,119.19,0.2397,,0.1
120,Carbon GSl Downst. /B,3/12/2022 0:00,121.65,0.2363,,0.1
121,Carbon GSI Upst. Bottom ,3/12/2022 0:00,,0.2396,,0.1
1,EXP 1 C B# 1,,105.96,0.2385,,0.1
2,EXP 1 C B# 2,,115.11,0.2422,,0.1
3,EXP 1 C B# 3,,119.52,0.2406,,0.1
4,EXP 1 C B# 4,,118.83,0.2505,,0.1
5,EXP 1 C B# 5,,120.31,0.2393,,0.1
6,EXP 1 C B# 6,,120.78,0.2394,,0.1
7,EXP 1 C B# 7,,120.15,0.2416,,0.1
8,EXP 1 C B# 8,,122.26,0.2415,,0.1
9,EXP 1 C B# 9,,120.51,0.2387,,0.1
10,EXP 1 C B# 10,,121.55,0.2397,,0.1
11,EXP 1 C B# 11,,120.93,0.2418,,0.1
12,EXP 1 C B# 12,,119.54,0.2304,,0.1
13,EXP 1 C B# 13,,121.19,0.2356,,0.1
14,EXP 1 C B# 14,,121.5,0.2375,,0.1
15,EXP 2 B# 1,,122.7,0.2318,,0.1
16,EXP 2 B# 2,,121.56,0.2399,,0.1
17,EXP 2 B# 3 ,,122.43,0.2381,,0.1
18,EXP 2 B# 4,,122.82,0.236,,0.1
19,EXP 2 B# 5,,121.09,0.2417,,0.1
20,EXP 2 B# 6,,120.25,0.2315,,0.1
21,EXP 2 B# 7,,121.68,0.2359,,0.1
22,EXP 2 B# 8,,122.23,0.2365,,0.1
23,EXP 2 B# 9,,120.78,0.2407,,0.1
24,EXP 2 B#10,,121.31,0.2402,,0.1
26,EXP 2 B# 12,,123.87,0.2414,,0.1
26,EXP 2 B# 12,,120.68,0.2374,,0.1
27,EXP 2 B# 13,,119.77,0.2356,,0.1
29,EXP 2 B# 15,,123.22,0.2362,,0.1
30,EXP 2 B# 16,,121.72,0.2379,,0.1
31,EXP 3 B# 1,,120.76,0.2275,,0.1
32,EXP 3 B# 2,,119.65,0.2402,,0.1
33,EXP 3 B# 3,,118.96,0.239,,0.1
34,EXP 3 B# 4,,73.57,0.2348,,0.1
35,EXP 3 B# 5,,122.7,0.2379,,0.1
36,EXP 3 B# 6,,121.94,0.2415,,0.1
37,EXP 3 B# 7,,119.82,0.2359,,0.1
38,EXP 3 B# 8,,121.55,0.2387,,0.1
39,EXP 3 B# 9,,121.17,0.2399,,0.1
40,EXP 3 B# 10,,121.7,0.234,,0.1
41,EXP 3 B# 11,,122.03,0.2407,,0.1
42,EXP 3 B# 12,,118.43,0.2361,,0.1
43,EXP 3 B# 13,,121.55,0.2404,,0.1
44,EXP 4 C B# 1,,123.31,0.2397,,0.1
45,EXP 4 C B# 2,,121.6,0.2388,,0.1
46,EXP 4 C B# 3,,120.47,0.2342,,0.1
47,EXP 4 C B# 4,,122.71,0.2351,,0.1
48,EXP 4 C B# 5,,122.01,0.2357,,0.1
49,EXP 4 C B# 6,,121.54,0.2407,,0.1
50,EXP 4 C B# 7 ,,121.75,0.2338,,0.1
51,EXP 4 C B# 8,,120.91,0.237,,0.1
52,EXP 4 C B# 9,,122.16,0.2418,,0.1
53,EXP 4 C B# 10,,122.43,0.2361,,0.1
54,EXP 4 C B# 11,,122.27,0.2419,,0.1
55,EXP 4 C B# 12,,120.98,0.2399,,0.1
56,EXP 5 B# 1,,111.04,0.2359,,0.1
57,EXP 5 B# 2,,122.87,0.2313,,0.1
58,EXP 5 B# 3,,122.65,0.2408,,0.1
59,EXP 5 B# 4,,121.12,0.2415,,0.1
60,EXP 5 B# 5,,122.12,0.238,,0.1
61,EXP 5 B# 6,,122.71,0.2384,,0.1
62,EXP 5 B# 7,,122.42,0.2412,,0.1
63,EXP 5 B# 8,,122.74,0.2388,,0.1
64,EXP 5 B# 9,,121.45,0.23306,,0.1
65,EXP 5 B# 10,,121.58,0.2417,,0.1
66,EXP 5 B# 11,,122.57,0.2297,,0.1
66,EXP 5 B# 11,,121.47,0.2334,,0.1
67,EXP 5 B# 12,,122.09,0.241,,0.1
68,EXP 5 B# 13,,122.07,0.2326,,0.1
69,EXP 6 B# 1,,121.9,0.2394,,0.1
70,EXP 6 B# 2,,122.15,0.2375,,0.1
71,EXP 6 B# 3,,120.21,0.2396,,0.1
72,EXP 6 B# 4,,121.09,0.2365,,0.1
73,EXP 6 B# 5,,123.28,0.2404,,0.1
74,EXP 6 B# 6,,119.03,0.2439,,0.1
75,EXP 6 B# 7,,120.71,0.2365,,0.1
76,EXP 6 B# 8,,122.52,0.2405,,0.1
77,EXP 6 B# 9,,120.54,0.2366,,0.1
78,EXP 6 B# 10,,122.2,0.2343,,0.1
79,EXP 6 B# 11,,122.22,0.2422,,0.1
80,EXP 7 B# 1,,122.57,0.2421,,0.1
81,EXP 7 B# 2,,121.33,0.2397,,0.1
82,EXP 7 B# 3,,122.52,0.2412,,0.1
83,EXP 7 B# 4,,121.45,0.2428,,0.1
84,EXP 7 B# 5,,122.08,0.241,,0.1
85,EXP 8 B# 1,,122.7,0.2414,,0.1
86,EXP 8 B# 2,,121.38,0.2374,,0.1
87,EXP 8 B# 3,,120.25,0.2365,,0.1
88,EXP 8 B# 4,,122.5,0.2387,,0.1
89,EXP 8 B# 5,,121.24,0.238,,0.1
90,EXP 8 B# 6,,122.39,0.2382,,0.1
91,EXP 8 B# 7,,122.48,0.2331,,0.1
92,EXP 8 B# 8,,119.13,0.2416,,0.1
93,EXP 8 B# 10,,119.42,0.2392,,0.1
94,EXP 8 B# 11,,118.75,0.2408,,0.1
95,S - 1 B# 1,,119.53,0.2401,,0.1
96,S - 1 B# 2,,118.59,0.2432,,0.1
97,S - 1 B# 4,,120.51,0.2348,,0.1
98,S - 1 B# 6,,122.31,0.2332,,0.1
99,S - 1 B# 13,,121.81,0.2413,,0.1
100,S - 1 B# 14,,122.5,0.2417,,0.1
101,S - 1 B# 17,,117.35,0.2371,,0.1
103,S - 2 B# 2,,121,0.242,,0.1
104,S - 2 B# 3,,120.98,0.2378,,0.1
105,S - 2 B# 4,,122.22,0.2427,,0.1
106,S - 2 B# 5,,,0.239,,0.1
107,S - 2 B# 7,,122.46,0.2376,,0.1
108,S - 2 B# 10 ,,121.35,0.2416,,0.1
109,S - 2 B# 11,,121.26,0.2414,,0.1
110,S - 2 B# 13,,119.95,0.2436,,0.1
110,S - 2 B# 13,,117.93,0.2403,,0.1
111,S - 2 B# 14,,122.53,0.2424,,0.1
112,S - 2 B# 16,,121.54,0.2365,,0.1
113,S - 2 B# 17,,118.38,0.2362,,0.1
114,S - 2 B# 19,,122.39,0.2398,,0.1
115,S - 2 B# 22,,109.83,0.2469,,0.1
116,S - 3 B# 1,,109.47,0.2377,,0.1
117,S - 3 B# 5,,103.98,0.2358,,0.1
118,S - 3 B# 19,,118.6,0.2387,,0.1
119,S - 3 B# 24,,113.88,0.2389,,0.1
162,BLANK,,,0.2356,,0.1
0,Side Channel (Upst. Reach),,190,0.2317,,0.1
